_key,Price,Available,OnHand,Nutrition,Description
Chocolate Roulade,10,true,0,Coming Soon,"A sinful creation, reminiscent of a decadent cake roll, perfect for indulging your zombie cravings."
Cream slices Kremšnite,10,true,0,Coming Soon,"Slices of creamy delight, like something out of a horror dessert scene, tempting even the undead."
Apple pie,10,true,0,Coming Soon,"A classic pie with a sinister twist, its aroma lures unsuspecting victims into its sweet, horrifying clutches."
Banana cake,10,true,0,Coming Soon,"A moist, banana-infused treat that beckons both the living and the undead with its eerie allure."
Chocolate cake,10,true,5,Coming Soon,"A dark, rich cake that seems to have crawled out from the depths of a horror-filled kitchen, tempting all who dare to taste."
Cheese cake,10,true,0,Coming Soon,"A hauntingly delicious dessert, its layers reminiscent of the layers of terror that lurk in the shadows of the night."
Lamington cake,10,true,0,Coming Soon,"Squares of sponge cake cloaked in a sinister chocolate coating, their coconut shavings resembling the tattered remains of the undead."
Pancakes,10,true,0,Coming Soon,"Thin, flat cakes that seem to have been flipped from the nightmares of a haunted kitchen, waiting to ensnare unsuspecting souls."
Baklava,10,true,0,Coming Soon,"Layers of sweetness wrapped in a phyllo pastry coffin, tempting even the most hardened horror enthusiasts."
Fruit Cake,10,true,0,Coming Soon,"A cake brimming with dried fruit and nuts, like the remnants of a cursed banquet, waiting to ensnare the unwary."
Tea Cookies,10,true,0,Coming Soon,"Tiny, round morsels of sweetness, hauntingly crisp and perfect for a midnight feast among the restless dead."
Bread,10,true,0,Coming Soon,"A staple sustenance, seemingly ordinary yet hiding sinister secrets within its doughy depths."
